파일넘버   learning_rate   epoch   대화1(보이스피싱)  대화2(통화녹음)  대화3(평범한말)
1             1e-5               3         91.87                   9.90                  91.95
2             1e-5               4         95.26                   10.33                 95.75
3             1e-5               5         97.76                   96.89                 97.78
4             2e-5               3         96.27                   13.00                 96.81
5             2e-5               4         98.71                   95.80                 98.69
6             2e-5               5         99.15                   1.90                   99.19
7             3e-5               3         97.40                   2.80                   98.68
8             3e-5               4         98.67                   15.72                 98.76
9             3e-5               5         99.31                   2.85                   99.30 
10           4e-5               3          99.10                  96.88                  98.84
11           4e-5               4          99.09                  58.40                  99.16
12           4e-5               5          99.45                  98.20                  99.24
13           5e-5               3          99.24                  96.04                  99.21
14           5e-5               4          99.28                  98.70                  99.27
15           5e-5               5          99.42                  2.04                    99.45

=====================================================
불용어 처리 x

16           1e-5               3          89.72                  16.55                  90.37
17           2e-5               3          97.16                  29.83                  97.27
18           2e-5               5          99.32                  1.11                    99.34
19           3e-5               3          98.45                  36.49                  98.06
20           3e-5               5          99.52                  1.30                    99.52
21           5e-5               5          99.60                  0.43                    98.83
